"","county","Average_Population","Average_Assult","Average_Arson","Average_Burglary","Average_Murder","Average_MVT","Average_Rape","Average_Robbery","Average_Theft","Average_Total"
"1","ADAMS",17701.8666666667,23.6,6.13333333333333,155,0.4,48.7333333333333,7.53333333333333,6.2,456.533333333333,704.133333333333
"2","ASOTIN",21216.7333333333,26.3333333333333,2.86666666666667,91.8,0.333333333333333,28,4.33333333333333,3.33333333333333,427.266666666667,584.266666666667
"3","BENTON",163911.666666667,228.866666666667,40.4,758.333333333333,2.46666666666667,260.133333333333,42.6,43.3333333333333,2985.93333333333,4362.06666666667
"4","CHELAN",70661.0666666667,67.2,8.2,354.266666666667,1.8,106.733333333333,25.4666666666667,18.5333333333333,1652.86666666667,2235.06666666667
"5","CLALLAM",68338.8666666667,79,16.6666666666667,351.333333333333,1.2,89.7333333333333,29.4666666666667,14.8666666666667,1206,1788.26666666667
"6","CLARK",403692.6,443.4,84.8,1825.93333333333,5.6,1242.4,147.133333333333,180.933333333333,7286.46666666667,11216.6666666667
"7","COLUMBIA",4099.6,3,0.266666666666667,26.8666666666667,0.0666666666666667,5.6,0.133333333333333,0.133333333333333,112.666666666667,148.733333333333
"8","COWLITZ",98219.8666666667,154.866666666667,38.2666666666667,866.133333333333,2.46666666666667,367.733333333333,52.7333333333333,47,2706.86666666667,4236.06666666667
"9","DOUGLAS",36175.5333333333,31.9333333333333,3.66666666666667,187.4,0.6,43.5333333333333,8.8,5.13333333333333,686.6,967.666666666667
"10","FERRY",7521.33333333333,4.2,0.2,13.6,0.333333333333333,2.26666666666667,0.533333333333333,0,22.8,43.9333333333333
"11","FRANKLIN",67103.1333333333,86.3333333333333,10.4666666666667,326.866666666667,1.6,144.066666666667,17.8,29.5333333333333,1038.53333333333,1655.2
"12","GARFIELD",2332.46666666667,3.26666666666667,0.333333333333333,11.1333333333333,0,2.73333333333333,1.06666666666667,0,40.9333333333333,59.4666666666667
"13","GRANT",83253.2,114.8,20.0666666666667,798.933333333333,2.93333333333333,230.666666666667,30.5333333333333,33.6666666666667,2184.26666666667,3415.86666666667
"14","GRAYS HARBOR",70622.9333333333,67.2,14.5333333333333,555.733333333333,1.6,167.933333333333,18.0666666666667,22.1333333333333,1736.06666666667,2583.26666666667
"15","ISLAND",77067.2,32.6,6.26666666666667,307.866666666667,0.4,52.3333333333333,18.2666666666667,6.26666666666667,730.133333333333,1154.13333333333
"16","JEFFERSON",28383,33.7333333333333,4.26666666666667,178.466666666667,0.466666666666667,25.8,7.8,3.4,454.066666666667,708
"17","KING",1864519.73333333,3100.53333333333,537.933333333333,14248,48.1333333333333,12717.6,534.533333333333,2267.53333333333,48946.9333333333,82401.2
"18","KITSAP",244411.266666667,551.2,50.7333333333333,1434.46666666667,3.2,412.6,150.4,92.2666666666667,3847,6541.86666666667
"19","KITTITAS",38137.4666666667,27,8.33333333333333,332.4,0.333333333333333,71.2,14.9333333333333,6.26666666666667,1141.2,1601.66666666667
"20","KLICKITAT",19934.0666666667,17.8666666666667,2.33333333333333,123.8,0.333333333333333,33.2,1.33333333333333,1.06666666666667,195.8,375.733333333333
"21","LEWIS",73220,103.933333333333,14.6,490.8,1.8,157.133333333333,28.7333333333333,22,1559,2378
"22","LINCOLN",10365.6,5.6,0.933333333333333,45.8,0.133333333333333,7.6,2.93333333333333,0.533333333333333,109.4,172.933333333333
"23","MASON",55063.6666666667,86.0666666666667,8.93333333333333,636.466666666667,1.33333333333333,227.2,35.6,17.8,1340.13333333333,2353.53333333333
"24","OKANOGAN",40319.2666666667,48.2,4.06666666666667,208,0.866666666666667,47.8666666666667,12.6,6.06666666666667,523,850.666666666667
"25","PACIFIC",21263.6,26.6666666666667,2.2,204.733333333333,0.6,30.3333333333333,5.46666666666667,2.13333333333333,331.466666666667,603.6
"26","PEND OREILLE",12492.8,9.93333333333333,0.733333333333333,97.8,0.266666666666667,23.5333333333333,1.86666666666667,0.866666666666667,223.133333333333,358.133333333333
"27","PIERCE",774437.866666667,2030.53333333333,186.466666666667,6253.26666666667,23.4666666666667,4654.13333333333,274.266666666667,903.866666666667,18700.0666666667,33026.0666666667
"28","SAN JUAN",15526.8,5.6,1.4,55.4,0.2,12.6666666666667,1.33333333333333,0.333333333333333,116,192.933333333333
"29","SKAGIT",113075.266666667,91.9333333333333,32.2,939.666666666667,2.46666666666667,307.666666666667,44,42.4,3872.6,5332.93333333333
"30","SKAMANIA",10584.4666666667,7.2,0.6,49.4,0.4,15.6666666666667,3.4,0.6,159.533333333333,236.8
"31","SNOHOMISH",678148.266666667,777.6,139.133333333333,4366.46666666667,11.7333333333333,3770.06666666667,237.933333333333,416.466666666667,14114.9333333333,23834.3333333333
"32","SPOKANE",450992.6,1090.26666666667,110.466666666667,4659,14.4,2631.33333333333,138.133333333333,514.2,15714.3333333333,24872.1333333333
"33","STATE",6448141.4,10392,1550.53333333333,47141.5333333333,153.533333333333,30190.3333333333,2204.46666666667,5052.2,152942.533333333,249627.533333333
"34","STEVENS",42357.7333333333,20.6,1.53333333333333,248,1.6,58.9333333333333,10.8666666666667,4,535.533333333333,881.066666666667
"35","THURSTON",235923.666666667,325.466666666667,38.3333333333333,1474.73333333333,4.06666666666667,488.2,75.8,83.2666666666667,4658.8,7148.66666666667
"36","WAHKIAKUM",3948.6,3.53333333333333,0.333333333333333,11.7333333333333,0.0666666666666667,2.6,0.733333333333333,0.0666666666666667,21.9333333333333,41
"37","WALLA WALLA",57795.3333333333,81.2666666666667,9.73333333333333,317.333333333333,0.533333333333333,79.0666666666667,35.1333333333333,15.6,1265.86666666667,1804.53333333333
"38","WHATCOM",187560.933333333,232.133333333333,33.6666666666667,1334.2,2.93333333333333,358.266666666667,73.4,70.2,4872.6,6977.8
"39","WHITMAN",43026,25.8,8.53333333333333,159.066666666667,0.266666666666667,26.9333333333333,14.7333333333333,4.2,511.866666666667,751.4
"40","YAKIMA",234735.4,322.733333333333,99.9333333333333,2641.33333333333,12.1333333333333,1238.13333333333,94.0666666666667,166,6453.4,11027.7333333333
